experiment_type,parameter_value,run,hidden_layers,activation,optimizer,batch_size,epochs,training_time,train_mse,train_rmse,train_mae,test_mse,test_rmse,test_mae,train_accuracy,test_accuracy,train_loss,test_loss
activation,tanh,4,"[64, 32]",tanh,sgd,32,50,0.784111499786377,0.6854166666666667,0.8278989471346528,0.6854166666666667,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.3145833333333333,0.23333333333333334,1.7214115552694589,1.754390358409082
activation,tanh,5,"[64, 32]",tanh,sgd,32,50,0.8078398704528809,0.7291666666666667,0.8539125638299666,0.7291666666666667,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.2708333333333333,0.25833333333333336,1.7443494125144163,1.7794248253942648
activation,tanh,6,"[64, 32]",tanh,sgd,32,50,0.8685038089752197,0.6854166666666667,0.8278989471346528,0.6854166666666667,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.3145833333333333,0.23333333333333334,1.706217465752037,1.7384839009743236
activation,tanh,7,"[64, 32]",tanh,sgd,32,50,0.8078398704528809,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.775,0.8803408430829505,0.775,0.26666666666666666,0.225,1.7182302989987916,1.7402399329484426
activation,tanh,8,"[64, 32]",tanh,sgd,32,50,0.7928164005279541,0.7541666666666667,0.8684276980075352,0.7541666666666667,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.24583333333333332,0.21666666666666667,1.7226508982550073,1.7475406383551824
activation,tanh,9,"[64, 32]",tanh,sgd,32,50,0.7718427181243896,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.8,0.8944271909999159,0.8,0.25833333333333336,0.2,1.736711790506976,1.770804824271237
activation,tanh,10,"[64, 32]",tanh,sgd,32,50,0.7924647331237793,0.7145833333333333,0.8453303101943839,0.7145833333333333,0.775,0.8803408430829505,0.775,0.28541666666666665,0.225,1.6911349922934353,1.7517951316288836
activation,leaky_relu,1,"[64, 32]",leaky_relu,sgd,32,50,0.8150858879089355,0.7770833333333333,0.8815233027738594,0.7770833333333333,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.22291666666666668,0.19166666666666668,1.7429777254444379,1.7837670970143416
activation,leaky_relu,2,"[64, 32]",leaky_relu,sgd,32,50,0.8462913036346436,0.71875,0.8477912478906585,0.71875,0.775,0.8803408430829505,0.775,0.28125,0.225,1.7034939775586793,1.7466554238920535
activation,leaky_relu,3,"[64, 32]",leaky_relu,sgd,32,50,0.7891495227813721,0.75,0.8660254037844386,0.75,0.8333333333333334,0.9128709291752769,0.8333333333333334,0.25,0.16666666666666666,1.718315363588019,1.7660702512783095
activation,leaky_relu,4,"[64, 32]",leaky_relu,sgd,32,50,0.9139559268951416,0.7375,0.8587782018658834,0.7375,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.2625,0.21666666666666667,1.7356028676307365,1.801431188667291
activation,leaky_relu,5,"[64, 32]",leaky_relu,sgd,32,50,0.8915810585021973,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.2916666666666667,0.19166666666666668,1.727245221295,1.7715153790730414
